Number of UEs,OAI,Open5gs,Free5gc
1,0.470648209,0.286592086,0.392486811
2,0.682658752,0.318584601,0.282381137
3,0.89509956,0.349553347,0.252874454
4,1.12053593,0.372268438,0.306658745
5,1.270951033,0.396276395,0.327034791
10,2.286070029,0.545829535,0.524069866
20,4.447802782,0.736775716,0.997431993
30,6.697732131,1.010319074,1.386130651
40,8.922599475,1.440649907,1.903456847
50,11.16051229,1.487702608,2.342018763
100,22.48545424,3.450438341,4.894990762
200,43.9618717,7.296126525,9.717703342
300,65.65052708,11.03989736,15.01528398