,cn,comm,ues,count,pid,time,time (ms),tool,diff
0,free5gc,ModemManager,0,37,772,21:09:23,1.222263,sysprocess,
1,oai,udr,0,69654,47297,11:55:37,67426.751745,sysprocess,
2,open5gs,[unknown],0,1058,22567,12:44:09,3532.552326,sysprocess,
3,free5gc,snapd,0,5,694,21:09:23,0.200848,sysprocess,
4,open5gs,accounts-daemon,0,386,677,12:44:09,187303.589512,sysprocess,
5,free5gc,smf,0,10,18610,21:09:23,10.454627,sysprocess,
6,open5gs,cron,0,13,680,12:44:09,60000.313872,sysprocess,
7,open5gs,dbus-daemon,0,119,681,12:44:09,59309.430584,sysprocess,
8,open5gs,irqbalance,0,76,687,12:44:09,59998.868333,sysprocess,
9,free5gc,rsyslogd,0,99,693,21:09:23,130097.63071,sysprocess,
10,open5gs,mongod,0,7003,13249,12:44:09,896894.800895,sysprocess,
11,open5gs,multipathd,0,292,459,12:44:09,233029.985368,sysprocess,
12,free5gc,python3,0,80,19533,21:09:23,70065.121834,sysprocess,
13,open5gs,open5gs-amfd,0,219,22553,12:44:09,56614.989642,sysprocess,
14,free5gc,polkitd,0,78,691,21:09:23,7.324243,sysprocess,
15,open5gs,open5gs-ausfd,0,119,22581,12:44:09,50049.857236,sysprocess,
16,open5gs,open5gs-bsfd,0,110,22571,12:44:09,50043.439735,sysprocess,
17,free5gc,pcf,0,999,18629,21:09:23,228999.845371,sysprocess,
18,open5gs,open5gs-hssd,0,1551,22600,12:44:09,545352.622488,sysprocess,
19,open5gs,open5gs-mmed,0,1585,22599,12:44:09,545335.798599,sysprocess,
20,free5gc,nssf,0,10,18646,21:09:23,11.045784,sysprocess,
21,open5gs,open5gs-nrfd,0,738,22572,12:44:09,60880.974554,sysprocess,
22,open5gs,open5gs-nssfd,0,99,22573,12:44:09,60051.820207,sysprocess,
23,free5gc,nrf,0,1086,18587,21:09:23,259478.688155,sysprocess,
24,open5gs,open5gs-pcfd,0,120,22586,12:44:09,60059.298593,sysprocess,
25,free5gc,multipathd,0,292,460,21:09:23,233023.684416,sysprocess,
26,free5gc,sshd,0,3,1302,21:09:23,0.037461,sysprocess,
27,oai,udm,0,69547,47277,11:55:37,67681.289302,sysprocess,
28,free5gc,systemd,0,116,1,21:09:23,28681.106889,sysprocess,
29,oai,systemd-udevd,0,2247,364,11:55:37,4103.673484,sysprocess,
30,oai,ausf,0,69612,47284,11:55:37,67725.074659,sysprocess,
31,oai,[unknown],0,1874,47134,11:55:37,4333.441122,sysprocess,
32,oai,dbus-daemon,0,191,587,11:55:37,593.339617,sysprocess,
33,oai,fwupd,0,118,40733,11:55:37,132034.315133,sysprocess,
34,oai,irqbalance,0,92,593,11:55:37,60003.282874,sysprocess,
35,free5gc,upf,0,10,18565,21:09:23,10.867332,sysprocess,
36,oai,multipathd,0,293,459,11:55:37,263015.80206,sysprocess,
37,free5gc,udr,0,1070,18620,21:09:23,258991.066272,sysprocess,
38,oai,mysqld,0,22930,717,11:55:37,1644178.275266,sysprocess,
39,oai,nrf,0,69623,47275,11:55:37,127866.175414,sysprocess,
40,free5gc,udm,0,2,18639,21:09:23,0.128177,sysprocess,
41,oai,python3,0,140,47250,11:55:37,70005.682606,sysprocess,
42,open5gs,open5gs-pcrfd,0,1523,22596,12:44:09,545349.184155,sysprocess,
43,oai,rsyslogd,0,1481,599,11:55:37,135073.42256,sysprocess,
44,oai,smf,0,1408,47298,11:55:37,180065.2312,sysprocess,
45,free5gc,systemd-udevd,0,78,364,21:09:23,0.360894,sysprocess,
46,oai,snapd,0,2393,602,11:55:37,241672.241068,sysprocess,
47,oai,sshd,0,532,47192,11:55:37,89.331564,sysprocess,
48,oai,systemctl,0,589,47273,11:55:37,374.532174,sysprocess,
49,free5gc,systemd-network,0,45,569,21:09:23,61439.342779,sysprocess,
50,oai,systemd,0,3331,1,11:55:37,68101.599431,sysprocess,
51,oai,systemd-journal,0,3180,332,11:55:37,67958.307011,sysprocess,
52,free5gc,systemd-logind,0,92,695,21:09:23,10462.764392,sysprocess,
53,oai,systemd-logind,0,446,608,11:55:37,529.420154,sysprocess,
54,oai,systemd-network,0,21,545,11:55:37,25343.873967,sysprocess,
55,free5gc,systemd-journal,0,1153,328,21:09:23,65324.332553,sysprocess,
56,free5gc,udisksd,0,57,700,21:09:23,1.925062,sysprocess,
57,open5gs,open5gs-scpd,0,1435,22582,12:44:09,60859.774014,sysprocess,
58,oai,accounts-daemon,0,1558,583,11:55:37,69591.156328,sysprocess,
59,free5gc,[unknown],0,115,19379,21:09:23,2.29982,sysprocess,
60,free5gc,irqbalance,0,76,688,21:09:23,59999.634606,sysprocess,
61,open5gs,rsyslogd,0,148,691,12:44:09,133123.451775,sysprocess,
62,open5gs,open5gs-udrd,0,99,22584,12:44:09,60040.221074,sysprocess,
63,open5gs,snapd,0,3374,692,12:44:09,61524.549281,sysprocess,
64,open5gs,systemd-network,0,88,15336,12:44:09,61927.605294,sysprocess,
65,open5gs,open5gs-sgwud,0,55,22574,12:44:09,66049.344647,sysprocess,
66,open5gs,open5gs-smfd,0,1701,22608,12:44:09,605382.549977,sysprocess,
67,free5gc,cron,0,6,682,21:09:23,0.03828,sysprocess,
68,open5gs,systemd-journal,0,1455,328,12:44:09,68731.614363,sysprocess,
69,free5gc,accounts-daemon,0,330,679,21:09:23,67999.834769,sysprocess,
70,free5gc,ausf,0,2,18654,21:09:23,10.197328,sysprocess,
71,open5gs,open5gs-sgwcd,0,57,22570,12:44:09,66049.574255,sysprocess,
72,open5gs,python3,0,62,22546,12:44:09,70008.662963,sysprocess,
73,open5gs,systemd-timesyn,0,24,491,12:44:09,32249.842037,sysprocess,
74,open5gs,systemd,0,156,1,12:44:09,47819.805143,sysprocess,
75,free5gc,amf,0,5295,18598,21:09:23,289020.568069,sysprocess,
76,free5gc,mongod,0,7262,13372,21:09:23,1438218.039186,sysprocess,
77,open5gs,open5gs-upfd,0,46,22568,12:44:09,65415.623684,sysprocess,
78,free5gc,dbus-daemon,0,111,683,21:09:23,2.967541,sysprocess,
79,open5gs,open5gs-udmd,0,103,22583,12:44:09,60056.462563,sysprocess,
80,oai,systemd,5,3336,1,14:11:38,68452.405696,sysprocess,1.0
81,free5gc,amf,5,16460,18598,21:45:46,315335.469213,sysprocess,2233.0
82,oai,systemd-journal,5,3311,332,14:11:38,67900.1531,sysprocess,26.2
83,free5gc,mongod,5,7671,13372,21:45:46,1254330.654998,sysprocess,81.8
84,free5gc,systemd-journal,5,1153,328,21:45:46,65478.951108,sysprocess,0.0
85,open5gs,rsyslogd,5,338,691,13:27:49,130116.984073,sysprocess,38.0
86,oai,systemd-logind,5,446,608,14:11:38,563.864971,sysprocess,0.0
87,oai,systemd-network,5,68,545,14:11:38,43742.017662,sysprocess,9.4
88,oai,systemd-resolve,5,78,547,14:11:38,44773.040996,sysprocess,
89,open5gs,python3,5,30,32241,13:27:49,70063.208714,sysprocess,-6.4
90,free5gc,systemd,5,158,1,21:45:46,50686.992631,sysprocess,8.4
91,open5gs,open5gs-scpd,5,3389,32267,13:27:49,61390.928958,sysprocess,390.8
92,free5gc,ausf,5,1578,18654,21:45:46,64293.007835,sysprocess,315.2
93,oai,udm,5,69198,58430,14:11:38,67838.621988,sysprocess,-69.8
94,free5gc,sshd,5,3,1302,21:45:46,0.027146,sysprocess,0.0
95,free5gc,systemd-logind,5,89,695,21:45:46,5.186918,sysprocess,-0.6
96,free5gc,systemd-network,5,49,569,21:45:46,56319.751864,sysprocess,0.8
97,open5gs,systemd,5,201,1,13:27:49,60943.801138,sysprocess,9.0
98,open5gs,snapd,5,2658,692,13:27:49,298541.103688,sysprocess,-143.2
99,free5gc,ModemManager,5,42,772,21:45:46,1.778152,sysprocess,1.0
100,oai,ausf,5,69183,58434,14:11:38,67810.385569,sysprocess,-85.8
101,oai,[unknown],5,1088,58285,14:11:38,4262.99003,sysprocess,-157.2
102,open5gs,systemd-udevd,5,2445,364,13:27:49,63811.763352,sysprocess,
103,oai,dbus-daemon,5,219,587,14:11:38,594.346233,sysprocess,5.6
104,free5gc,upf,5,10,18565,21:45:46,10.763605,sysprocess,0.0
105,open5gs,systemd-network,5,88,15336,13:27:49,63366.942266,sysprocess,0.0
106,oai,irqbalance,5,76,593,14:11:38,60002.529633,sysprocess,-3.2
107,oai,multipathd,5,293,459,14:11:38,263015.747387,sysprocess,0.0
108,free5gc,udr,5,5350,18620,21:45:46,248942.979485,sysprocess,856.0
109,free5gc,[unknown],5,113,24416,21:45:46,2.875204,sysprocess,-0.4
110,oai,mysqld,5,22959,717,14:11:38,1644702.498384,sysprocess,5.8
111,oai,nrf,5,69382,58435,14:11:38,127943.723096,sysprocess,-48.2
112,free5gc,udm,5,3949,18639,21:45:46,185140.076049,sysprocess,789.4
113,open5gs,systemd-journal,5,1521,328,13:27:49,65450.756457,sysprocess,13.2
114,oai,python3,5,36,58404,14:11:38,70067.915307,sysprocess,-20.8
115,free5gc,udisksd,5,42,700,21:45:46,2.639249,sysprocess,-3.0
116,oai,rsyslogd,5,1463,599,14:11:38,134892.644514,sysprocess,-3.6
117,free5gc,accounts-daemon,5,316,679,21:45:46,66257.689375,sysprocess,-2.8
118,oai,smf,5,1417,58455,14:11:38,180066.5814,sysprocess,1.8
119,free5gc,systemd-udevd,5,74,364,21:45:46,13.80983,sysprocess,-0.8
120,oai,snapd,5,2397,602,14:11:38,109891.795093,sysprocess,0.8
121,oai,sshd,5,532,58346,14:11:38,101.767704,sysprocess,0.0
122,oai,systemctl,5,585,58427,14:11:38,391.526073,sysprocess,-0.8
123,oai,udr,5,69661,58453,14:11:38,67387.75154,sysprocess,1.4
124,oai,systemd-udevd,5,2521,364,14:11:38,55926.81333,sysprocess,54.8
125,open5gs,open5gs-ausfd,5,359,32264,13:27:49,60558.918877,sysprocess,48.0
126,free5gc,python3,5,74,24570,21:45:46,70067.731631,sysprocess,-1.2
127,open5gs,multipathd,5,293,459,13:27:49,263043.22509,sysprocess,0.2
128,free5gc,dbus-daemon,5,107,683,21:45:46,5.465275,sysprocess,-0.8
129,open5gs,open5gs-amfd,5,1053,32248,13:27:49,65589.538668,sysprocess,166.8
130,free5gc,polkitd,5,68,691,21:45:46,9.116803,sysprocess,-2.0
131,open5gs,open5gs-smfd,5,1661,32294,13:27:49,605364.479046,sysprocess,-8.0
132,open5gs,open5gs-bsfd,5,99,32263,13:27:49,60051.912618,sysprocess,-2.2
133,free5gc,pcf,5,2206,18629,21:45:46,254059.684213,sysprocess,241.4
134,open5gs,open5gs-sgwud,5,42,32262,13:27:49,58541.063929,sysprocess,-2.6
135,oai,accounts-daemon,5,3016,583,14:11:38,69057.425363,sysprocess,291.6
136,open5gs,open5gs-hssd,5,1527,32276,13:27:49,545347.752194,sysprocess,-4.8
137,free5gc,nssf,5,10,18646,21:45:46,11.092373,sysprocess,0.0
138,free5gc,irqbalance,5,76,688,21:45:46,59999.014452,sysprocess,0.0
139,open5gs,open5gs-nrfd,5,832,32270,13:27:49,61476.79268,sysprocess,18.8
140,free5gc,nrf,5,3904,18587,21:45:46,294725.233028,sysprocess,563.6
141,open5gs,open5gs-sgwcd,5,38,32268,13:27:49,55038.196361,sysprocess,-3.8
142,open5gs,open5gs-nssfd,5,99,32261,13:27:49,60049.546827,sysprocess,0.0
143,open5gs,open5gs-pcfd,5,322,32269,13:27:49,60797.480522,sysprocess,40.4
144,free5gc,multipathd,5,292,460,21:45:46,233028.147766,sysprocess,0.0
145,open5gs,open5gs-pcrfd,5,1525,32292,13:27:49,545356.756044,sysprocess,0.4
146,open5gs,open5gs-mmed,5,1523,32293,13:27:49,545346.731054,sysprocess,-12.4
147,open5gs,open5gs-udmd,5,983,32266,13:27:49,60635.636887,sysprocess,176.0
148,open5gs,mongod,5,7109,13249,13:27:49,896977.65749,sysprocess,21.2
149,open5gs,[unknown],5,345,32467,13:27:49,5406.200547,sysprocess,-142.6
150,free5gc,smf,5,10,18610,21:45:46,11.022748,sysprocess,0.0
151,free5gc,cron,5,6,682,21:45:46,0.042461,sysprocess,0.0
152,open5gs,open5gs-udrd,5,602,32265,13:27:49,60778.937336,sysprocess,100.6
153,free5gc,snapd,5,13,694,21:45:46,0.515864,sysprocess,1.6
154,open5gs,irqbalance,5,167,687,13:27:49,70001.605542,sysprocess,18.2
155,open5gs,open5gs-upfd,5,46,32249,13:27:49,64836.812813,sysprocess,0.0
156,open5gs,accounts-daemon,5,377,677,13:27:49,68577.951365,sysprocess,-1.8
157,free5gc,rsyslogd,5,102,693,21:45:46,130128.608851,sysprocess,0.6
158,open5gs,open5gs-pcfd,10,555,42016,14:11:22,60545.827232,sysprocess,46.6
159,oai,accounts-daemon,10,4457,583,15:48:43,68643.763344,sysprocess,288.2
160,oai,mysqld,10,22946,717,15:48:43,1630531.409481,sysprocess,-2.6
161,open5gs,open5gs-udrd,10,1047,42018,14:11:22,60609.448526,sysprocess,89.0
162,open5gs,open5gs-mmed,10,1521,42020,14:11:22,545346.120258,sysprocess,-0.4
163,oai,systemd-udevd,10,2324,364,15:48:43,28619.628098,sysprocess,-39.4
164,open5gs,open5gs-nrfd,10,1096,42006,14:11:22,70017.281836,sysprocess,52.8
165,open5gs,open5gs-pcrfd,10,1586,42031,14:11:22,604184.333467,sysprocess,12.2
166,oai,multipathd,10,292,459,15:48:43,233014.804227,sysprocess,-0.2
167,open5gs,open5gs-sgwcd,10,35,42007,14:11:22,55015.105149,sysprocess,-0.6
168,oai,udisksd,10,14,611,15:48:43,15500.497018,sysprocess,
169,oai,irqbalance,10,100,593,15:48:43,59999.409503,sysprocess,4.8
170,open5gs,[unknown],10,7550,42011,14:11:22,4100.089397,sysprocess,1441.0
171,oai,udm,10,69276,69473,15:48:43,67874.498844,sysprocess,15.6
172,open5gs,systemd-journal,10,2325,328,14:11:22,69098.689608,sysprocess,160.8
173,open5gs,open5gs-nssfd,10,103,42015,14:11:22,50055.736383,sysprocess,0.8
174,open5gs,systemd-network,10,88,15336,14:11:22,63614.480077,sysprocess,0.0
175,open5gs,systemd-resolve,10,40,588,14:11:22,4130.459273,sysprocess,
176,oai,dbus-daemon,10,246,587,15:48:43,18717.046783,sysprocess,5.4
177,oai,ausf,10,69628,69474,15:48:43,67723.28914,sysprocess,89.0
178,open5gs,open5gs-scpd,10,5581,42017,14:11:22,69880.795602,sysprocess,438.4
179,open5gs,irqbalance,10,108,687,14:11:22,59995.070467,sysprocess,-11.8
180,oai,nrf,10,69551,69475,15:48:43,127903.983365,sysprocess,33.8
181,open5gs,open5gs-hssd,10,1523,42026,14:11:22,545347.588286,sysprocess,-0.8
182,oai,systemd-journal,10,3101,332,15:48:43,67781.785232,sysprocess,-42.0
183,open5gs,open5gs-udmd,10,1871,42009,14:11:22,60534.100345,sysprocess,177.6
184,oai,systemd,10,3296,1,15:48:43,68424.120716,sysprocess,-8.0
185,open5gs,mongod,10,7546,13249,14:11:22,1077640.054431,sysprocess,87.4
186,oai,systemd-logind,10,446,608,15:48:43,562.609031,sysprocess,0.0
187,open5gs,multipathd,10,293,459,14:11:22,263028.550457,sysprocess,0.0
188,oai,systemctl,10,591,69469,15:48:43,397.020151,sysprocess,1.2
189,open5gs,dbus-daemon,10,106,681,14:11:22,59342.854817,sysprocess,-1.3
190,oai,sshd,10,541,69388,15:48:43,96.996525,sysprocess,1.8
191,open5gs,open5gs-amfd,10,2436,41997,14:11:22,69278.387389,sysprocess,276.6
192,open5gs,snapd,10,4940,692,14:11:22,69559.578635,sysprocess,456.4
193,open5gs,accounts-daemon,10,396,677,14:11:22,187390.174905,sysprocess,3.8
194,open5gs,python3,10,42,41987,14:11:22,70069.770503,sysprocess,2.4
195,oai,udr,10,69690,69504,15:48:43,67431.085923,sysprocess,5.8
196,oai,smf,10,1418,69493,15:48:43,180061.238995,sysprocess,0.2
197,open5gs,open5gs-ausfd,10,768,42004,14:11:22,60622.826282,sysprocess,81.8
198,oai,systemd-network,10,115,545,15:48:43,23807.098101,sysprocess,9.4
199,oai,rsyslogd,10,1270,599,15:48:43,135039.347989,sysprocess,-38.6
200,open5gs,open5gs-sgwud,10,42,42008,14:11:22,58513.014827,sysprocess,0.0
201,open5gs,open5gs-bsfd,10,99,42005,14:11:22,60048.2822,sysprocess,0.0
202,open5gs,systemd,10,180,1,14:11:22,59363.453621,sysprocess,-4.2
203,oai,python3,10,132,69446,15:48:43,70069.353801,sysprocess,19.2
204,oai,systemd-resolve,10,207,547,15:48:43,18873.766723,sysprocess,25.8
205,open5gs,rsyslogd,10,1227,691,14:11:22,137313.659544,sysprocess,177.8
206,open5gs,open5gs-smfd,10,2397,42035,14:11:22,734270.924433,sysprocess,147.2
207,open5gs,open5gs-upfd,10,63,41998,14:11:22,66032.145822,sysprocess,3.4
208,oai,snapd,10,2497,602,15:48:43,146340.97605,sysprocess,20.0
209,free5gc,python3,10,62,29588,22:43:52,70069.67349,sysprocess,-2.4
210,free5gc,upf,10,10,18565,22:43:52,10.257051,sysprocess,0.0
211,free5gc,[unknown],10,113,29434,22:43:52,2.589571,sysprocess,0.0
212,free5gc,sshd,10,3,1302,22:43:52,0.04109,sysprocess,0.0
213,free5gc,cron,10,6,682,22:43:52,0.022261,sysprocess,0.0
214,free5gc,systemd-journal,10,1152,328,22:43:52,65513.847632,sysprocess,-0.2
215,free5gc,rsyslogd,10,106,693,22:43:52,130109.066642,sysprocess,0.8
216,free5gc,udr,10,8490,18620,22:43:52,278095.628789,sysprocess,628.0
217,free5gc,multipathd,10,292,460,22:43:52,233027.577118,sysprocess,0.0
218,free5gc,mongod,10,8301,13372,22:43:52,1253970.660275,sysprocess,126.0
219,free5gc,smf,10,10,18610,22:43:52,11.016203,sysprocess,0.0
220,free5gc,systemd,10,181,1,22:43:52,58970.373039,sysprocess,4.6
221,free5gc,dbus-daemon,10,107,683,22:43:52,4.667631,sysprocess,0.0
222,free5gc,ausf,10,4214,18654,22:43:52,64736.967828,sysprocess,527.2
223,free5gc,snapd,10,106,694,22:43:52,4.706976,sysprocess,18.6
224,free5gc,udm,10,9960,18639,22:43:52,67048.648671,sysprocess,1202.2
225,free5gc,irqbalance,10,92,688,22:43:52,59998.84654,sysprocess,3.2
226,free5gc,udisksd,10,30,700,22:43:52,2.901189,sysprocess,-2.4
227,free5gc,systemd-udevd,10,68,364,22:43:52,12.574724,sysprocess,-1.2
228,free5gc,accounts-daemon,10,321,679,22:43:52,68970.419555,sysprocess,1.0
229,free5gc,systemd-logind,10,89,695,22:43:52,5.49033,sysprocess,0.0
230,free5gc,nssf,10,10,18646,22:43:52,10.916382,sysprocess,0.0
231,free5gc,systemd-resolve,10,43,590,22:43:52,0.251507,sysprocess,
232,free5gc,systemd-network,10,74,569,22:43:52,34347.668487,sysprocess,5.0
233,oai,[unknown],10,1406,69303,15:48:43,3915.776759,sysprocess,63.6
234,free5gc,ModemManager,10,36,772,22:43:52,3.161725,sysprocess,-1.2
235,free5gc,nrf,10,6371,18587,22:43:52,287812.048539,sysprocess,493.4
236,free5gc,pcf,10,3008,18629,22:43:52,258970.736044,sysprocess,160.4
237,free5gc,polkitd,10,62,691,22:43:52,9.850968,sysprocess,-1.2
238,free5gc,amf,10,19659,18598,22:43:52,322918.137519,sysprocess,639.8
239,free5gc,systemd-timesyn,10,12,493,22:43:52,0.069538,sysprocess,
240,oai,systemd-logind,50,446,608,17:54:48,557.864857,sysprocess,0.0
241,open5gs,open5gs-udrd,50,4005,51798,14:44:47,60003.350919,sysprocess,73.95
242,free5gc,sshd,50,3,59763,06:45:00,0.033107,sysprocess,0.0
243,oai,systemd-udevd,50,2343,364,17:54:48,3829.193405,sysprocess,0.475
244,free5gc,systemd-network,50,93,43784,06:45:00,56063.312694,sysprocess,0.475
245,free5gc,dbus-daemon,50,158,683,06:45:00,1.956114,sysprocess,1.275
246,free5gc,systemd-logind,50,117,695,06:45:00,5.329051,sysprocess,0.7
247,oai,systemctl,50,583,82219,17:54:48,389.136697,sysprocess,-0.2
248,open5gs,open5gs-upfd,50,63,51780,14:44:47,66028.017813,sysprocess,0.0
249,open5gs,open5gs-smfd,50,1807,51819,14:44:47,615397.340219,sysprocess,-14.75
250,oai,systemd-journal,50,3119,332,17:54:48,67770.881366,sysprocess,0.45
251,free5gc,systemd,50,164,1,06:45:00,33182.059774,sysprocess,-0.425
252,open5gs,open5gs-udmd,50,11630,51816,14:44:47,59924.206374,sysprocess,243.975
253,free5gc,ausf,50,53065,18654,06:45:00,16796.196611,sysprocess,1221.275
254,oai,systemd-network,50,21,545,17:54:48,25343.504058,sysprocess,-2.35
255,free5gc,systemd-journal,50,1484,43813,06:45:00,65496.676738,sysprocess,8.3
256,oai,systemd,50,3256,1,17:54:48,68400.906889,sysprocess,-1.0
257,free5gc,cron,50,6,682,06:45:00,0.038677,sysprocess,0.0
258,free5gc,irqbalance,50,98,688,06:45:00,59993.551339,sysprocess,0.15
259,open5gs,open5gs-sgwud,50,42,51796,14:44:47,58562.425758,sysprocess,0.0
260,free5gc,nssf,50,147,18646,06:45:00,120032.155405,sysprocess,3.425
261,open5gs,open5gs-hssd,50,1525,51820,14:44:47,545349.319852,sysprocess,0.05
262,free5gc,nrf,50,113822,18587,06:45:00,264975.763634,sysprocess,2686.275
263,open5gs,open5gs-nrfd,50,1919,51810,14:44:47,70005.592951,sysprocess,20.575
264,open5gs,open5gs-bsfd,50,103,51809,14:44:47,60063.747189,sysprocess,0.1
265,free5gc,packagekitd,50,98,35184,06:45:00,65004.980545,sysprocess,
266,free5gc,pcf,50,36126,18629,06:45:00,247216.221091,sysprocess,827.95
267,open5gs,open5gs-ausfd,50,5095,51788,14:44:47,60003.00187,sysprocess,108.175
268,open5gs,open5gs-nssfd,50,98,51811,14:44:47,60048.607396,sysprocess,-0.125
269,open5gs,open5gs-amfd,50,17072,51781,14:44:47,69087.440791,sysprocess,365.9
270,free5gc,polkitd,50,71,691,06:45:00,9.948419,sysprocess,0.225
271,free5gc,multipathd,50,434,460,06:45:00,233026.380671,sysprocess,3.55
272,open5gs,multipathd,50,293,459,14:44:47,263030.098981,sysprocess,0.0
273,oai,udm,50,69600,82225,17:54:48,67698.793094,sysprocess,8.1
274,open5gs,open5gs-pcfd,50,2212,51815,14:44:47,68126.513443,sysprocess,41.425
275,free5gc,python3,50,93,72258,06:45:00,70024.879912,sysprocess,0.775
276,open5gs,open5gs-pcrfd,50,1525,51818,14:44:47,545348.547112,sysprocess,-1.525
277,open5gs,irqbalance,50,100,687,14:44:47,59999.341955,sysprocess,-0.2
278,free5gc,rsyslogd,50,103,35679,06:45:00,130125.558466,sysprocess,-0.075
279,open5gs,dbus-daemon,50,116,681,14:44:47,59314.24934,sysprocess,0.25
280,free5gc,mongod,50,22889,13372,06:45:00,1383055.515359,sysprocess,364.7
281,open5gs,open5gs-scpd,50,18797,51790,14:44:47,69449.917735,sysprocess,330.4
282,open5gs,accounts-daemon,50,467,677,14:44:47,188164.121267,sysprocess,1.775
283,free5gc,smf,50,147,18610,06:45:00,120031.61346,sysprocess,3.425
284,open5gs,[unknown],50,1415,51789,14:44:47,3411.599424,sysprocess,-153.375
285,open5gs,open5gs-sgwcd,50,35,51791,14:44:47,55051.215129,sysprocess,0.0
286,oai,udr,50,69649,82240,17:54:48,67400.401954,sysprocess,-1.025
287,free5gc,snapd,50,15,60466,06:45:00,60000.348462,sysprocess,-2.275
288,open5gs,mongod,50,8848,13249,14:44:47,893575.511221,sysprocess,32.55
289,oai,sshd,50,527,82138,17:54:48,91.918944,sysprocess,-0.35
